# k,n=0,n=1,n=2,n=3
9.837310329422583877e-01,9.818211203264400666e+00,3.695805231473215713e+01,5.924546221973766080e+01,9.397034754576604598e+01
1.047197551196598297e+00,9.824122188226002805e+00,3.688246100448817089e+01,5.949113107530374833e+01,9.329349494176499036e+01
1.110664069450937319e+00,9.830262538149762364e+00,3.680498301420092844e+01,5.974935542845125269e+01,9.261854390488140609e+01
1.174130587705276341e+00,9.836608457849928655e+00,3.672599496035564215e+01,6.001976194675704335e+01,9.194594951226591206e+01
1.237597105959615362e+00,9.843135247776160668e+00,3.664586661066002904e+01,6.030198308817791997e+01,9.127608595230653066e+01
1.301063624213955272e+00,9.849817389595761696e+00,3.656495916984579964e+01,6.059565853456290085e+01,9.060926544388728132e+01
1.364530142468294294e+00,9.856628636383394593e+00,3.648362387058578094e+01,6.090043627782009850e+01,8.994575237180923466e+01
1.427996660722633315e+00,9.863542107250408364e+00,3.640220084287636837e+01,6.121597337646620218e+01,8.928577402158319387e+01
1.491463178976972337e+00,9.870530386230930375e+00,3.632101823290427944e+01,6.154193639990839415e+01,8.862952887396222934e+01
1.554929697231312247e+00,9.877565625202191057e+00,3.624039154158358400e+01,6.187800157504540977e+01,8.797719313887321846e+01
1.618396215485651268e+00,9.884619650579557160e+00,3.616062315329525489e+01,6.222385464438882963e+01,8.732892602067857979e+01
1.681862733739990290e+00,9.891664073439246252e+00,3.608200202661063116e+01,6.257919043675298809e+01,8.668487408103503356e+01
1.745329251994329312e+00,9.898670402748383168e+00,3.600480352061545375e+01,6.294371214006203274e+01,8.604517498308825907e+01
1.808795770248669221e+00,9.905610161278993075e+00,3.592928933271104341e+01,6.331713024975993420e+01,8.540996084929376764e+01
1.872262288503008243e+00,9.912455003749681026e+00,3.585570752618043855e+01,6.369916114414016306e+01,8.477936143854627460e+01
1.935728806757347265e+00,9.919176836713743839e+00,3.578429262835096125e+01,6.408952520645854634e+01,8.415350734359043372e+01
1.999195325011687174e+00,9.925747939611756721e+00,3.571526578259705076e+01,6.448794436830625898e+01,8.353253342821214744e+01
2.062661843266026196e+00,9.932141086450116063e+00,3.564883493983504081e+01,6.489413888158416910e+01,8.291658277046558112e+01
2.126128361520365218e+00,9.938329667432274306e+00,3.558519507728640008e+01,6.530782302429993535e+01,8.230581146467719122e+01
2.189594879774704239e+00,9.944287809896652064e+00,3.552452843430759799e+01,6.572869928637949499e+01,8.170039478203983663e+01
2.253061398029044149e+00,9.949990497866075145e+00,3.546700475684639997e+01,6.615645032684844296e+01,8.110053543496819373e+01
2.316527916283383171e+00,9.955413689467521365e+00,3.541278154366800379e+01,6.659072757412845078e+01,8.050647510268723295e+01
2.379994434537722192e+00,9.960534431492652274e+00,3.536200428883696389e+01,6.703113462905787401e+01,7.991851108179115215e+01
2.443460952792061214e+00,9.965330970337431538e+00,3.531480671612745681e+01,6.747720238171449125e+01,7.933702116941485372e+01
2.506927471046401124e+00,9.969782858570562567e+00,3.527131100202899461e+01,6.792835048429097355e+01,7.876250215178265535e+01
2.570393989300740145e+00,9.973871056330189333e+00,3.523162798480350943e+01,6.838382553221059368e+01,7.819563155797575860e+01
2.633860507555079167e+00,9.977578026886238405e+00,3.519585735779570967e+01,6.884259782750851286e+01,7.763737081458405953e+01
2.697327025809418188e+00,9.980887825561595150e+00,3.516408784566594647e+01,6.930318100557082062e+01,7.708914552782303531e+01
2.760793544063758098e+00,9.983786181378894398e+00,3.513639736272445901e+01,6.976330031879925286e+01,7.655317710576899515e+01
2.824260062318097120e+00,9.986260570781606560e+00,3.511285315282428598e+01,7.021924650700255199e+01,7.603312879581912398e+01
2.887726580572436141e+00,9.988300282799059460e+00,3.509351191053968222e+01,7.066453751187302146e+01,7.553544388385158470e+01
2.951193098826776051e+00,9.989896475161270217e+00,3.507841988353973761e+01,7.108698976931181335e+01,7.507227432444402382e+01
3.014659617081115073e+00,9.991042220884178704e+00,3.506761295616055918e+01,7.146224338365631468e+01,7.466795550040255591e+01
3.078126135335454094e+00,9.991732544905659097e+00,3.506111671425110643e+01,7.174188568617279316e+01,7.437088261105552078e+01
3.141592653589793116e+00,9.991964450504843498e+00,3.505894649140191888e+01,7.185038570639417799e+01,7.425657616202512656e+01
